"vtd.key1","tract.key","party","dem.super","pop.density","income","white","poverty","black","hispanic","medianage","distance","weights"
"480291087",48029171700,"DEM",TRUE,9.87801499584683,45326,63.6,22.61,5.46,77.63,31.7,0.578112275873064,1
"480291091",48029141600,"DEM",TRUE,12.7856201469468,52014,54.43,9.07,0,89.37,28.5,0.14658212051951,1
"480291098",48029150100,"DEM",TRUE,17.7742931318971,29372,50.82,19.43,0,95.81,40,0.667642483646375,1
"480292035",48029190200,"DEM",TRUE,10.3788418445482,32123,70.02,16.7,1.32,62.31,46.4,0.299053642894311,1
"480292041",48029180503,"DEM",TRUE,23.6982329892606,35375,68.27,15.07,4.05,90.07,35.1,0.784649841823914,1
"480292075",48029171602,"DEM",TRUE,6.83241101239091,24514,79.66,33.46,7.01,92.47,17.8,0.838355212284965,1
"480292116",48029120701,"DEM",TRUE,0.281768589824021,32304,88.32,19.54,1.41,55.24,40.6,0.113078799087698,1
"480292124",48029181728,"DEM",TRUE,0.820975333551184,60328,74.12,7.45,5.26,68.45,27.3,0.0269019050308787,1
"480293156",48029120701,"REP",FALSE,0.465971191867236,32304,88.32,19.54,1.41,55.24,40.6,0.116158430486391,1
"480294014",48029140200,"DEM",TRUE,7.61324444219455,26883,58.2,26.14,2.87,89.99,36.1,0.575053530055429,1
"480294015",48029190100,"DEM",TRUE,13.6812168720171,30587,49.19,23.03,3.79,84.34,50,0.706988851507211,1
"480294018",48029192100,"DEM",TRUE,14.9289434012718,55431,74.15,9.88,0,58.01,52.3,0.217460633576477,1
"480294028",48029140500,"DEM",TRUE,26.4683531806661,41685,59.49,15.43,4.23,87.16,38.1,0.860562536787412,1
"480294042",48029131504,"DEM",TRUE,1.10394033211648,46795,65.45,16.83,18.17,48.45,29.7,0.254278219181473,1
"480294103",48029140700,"DEM",TRUE,18.4873719630635,36498,65.16,12.81,5.95,75.29,46.3,0.55527374903363,1
"480294146",48029131615,"DEM",TRUE,2.67707593962514,58158,64.02,5.28,23.85,43.59,32.9,0.0989037259310111,1
"48037005C",48037010902,"REP",FALSE,2.22490317270083,53936,74.71,12.46,16.11,10.69,36.3,0.149468113919244,1
"480390037",48039664300,"DEM",TRUE,6.31706736650181,34471,67.2,24.01,13.27,58.81,27.9,0.632851902459426,1
"480390077",48039660900,"REP",FALSE,1.50407719581312,51269,74.12,18.96,4.17,50.24,37.1,0.149347504174796,1
"480410013",48041000800,"REP",FALSE,9.55106181275371,43896,80.65,20.28,9.32,27.82,33.3,0.546598804817237,1
"480410052",48041000603,"REP",FALSE,19.0091520435647,31003,52.65,33.31,17.99,65.91,25.5,0.988624460121362,1
"480410062",48041002014,"REP",FALSE,0.323368399681899,33542,95.35,29.46,4.65,6.88,22.4,0.440710823569098,1
"480430007",48043950500,"DEM",TRUE,0.00240018143873653,37463,86.34,9.98,0.65,28.56,53.1,0.024736032913839,1
"480490212",48049950100,"REP",FALSE,0.0242221378224046,32083,97.79,16.71,0,10.22,43.3,0.0655739955572736,1
"480510202",48051970300,"DEM",TRUE,2.7846384868424,42262,81.46,13.28,8.57,29.42,39.8,0.109947807968459,1
"480510211",48051970400,"REP",FALSE,0.0600298107336334,35762,75.49,21.22,19.84,15.46,40,0.394862458507789,1
"480550106",48055960400,"DEM",TRUE,9.99842644615008,35577,58.71,18.74,6.03,50.65,34.7,0.441930500827538,1
"480610086",48061012608,"DEM",TRUE,2.51970439132146,30758,88.95,32.59,0,85.66,29,0.565635063894812,1
"480670014",48067950300,"REP",FALSE,0.113150858374706,37434,78.97,17.27,19.82,1.21,43.8,0.260389156190321,1
"480670017",48067950400,"REP",FALSE,0.273957973353537,31698,66.11,26.58,32,1.81,43.7,0.799251949958383,1
"480690109",48069950200,"REP",FALSE,0.0248983471185716,28393,89.49,30.74,3.55,66.88,32.8,0.457863583181893,1
"480730034",48073950200,"REP",FALSE,0.175317223900053,37973,97.69,14.55,2.19,1.38,42,0.0569783852314541,1
"480830001",48083950300,"REP",FALSE,0.0158068244890805,21817,91.87,32.97,0.54,20.38,38.8,0.488181807554161,1
"48083002E",48083950300,"REP",FALSE,0.196238387440525,21817,91.87,32.97,0.54,20.38,38.8,0.495611503703362,1
"480910201",48091310403,"REP",FALSE,5.33486296840239,53382,91.42,17.81,1.58,34.52,36.4,0.184281462806998,1
"480910202",48091310802,"REP",FALSE,0.438973921573148,66345,85.19,14.7,4.67,35.23,36.7,0.0724012767187763,1
"481090004",48109950300,"DEM",TRUE,0.00227644816083415,35500,83.91,28.8,0,71.69,30.4,0.320893735050716,1
"481131509",48113014002,"REP",FALSE,0.107881550380103,37361,100,17.71,0,7.13,61,0.076921415266499,1
"481131818",48113013609,"DEM",TRUE,10.1195888476849,65093,57.06,8.07,15.59,33.29,40.7,0.236586480044183,1
"481132147",48113017808,"DEM",TRUE,6.23996271482503,70134,75.01,5.26,13.86,14.99,39.3,0.0842048976193544,1
"481132148",48113018402,"REP",FALSE,11.0781857682713,48672,73.49,26.52,9.69,19.75,52.3,0.810442935840898,1
"481132248",48113017900,"DEM",TRUE,8.79360031116997,41417,67.77,20.23,8.54,47.76,35,0.498707108931116,1
"481132309",48113017805,"DEM",TRUE,3.1591000409508,49438,60.32,12.07,29.7,26.5,43,0.351745603965824,1
"481132331",48113017202,"REP",FALSE,0.45362035703816,42489,65.69,25.97,28.15,38.04,34.3,0.735279156063115,1
"481133011",48113010500,"DEM",TRUE,0.792271011800531,32500,52.57,26.4,32.3,66.67,21.1,0.811750363838083,1
"481133208",48113001502,"DEM",TRUE,11.9941745377955,38271,53.03,23.05,11.44,68.78,30.2,0.76650872167844,1
"481133300",48113008400,"DEM",TRUE,5.07015493811664,35734,62,28.78,4.85,84.6,26.5,0.611007527318284,1
"481133309",48113008500,"DEM",TRUE,11.1888139743226,31820,50.14,24.97,13.75,71.58,26.9,0.822794791542011,1
"481133328",48113011702,"DEM",TRUE,13.6011820004617,37906,72.88,14.04,7.96,64.74,30.3,0.441386051735493,1
"481133340",48113020400,"DEM",TRUE,4.98026979782761,52508,59.34,29.97,30.12,22.65,31.8,0.927545055149851,1
"481133344",48113002500,"DEM",TRUE,5.34793114067702,27440,50,25.96,26.82,68.79,25.8,0.848778970532709,1
"481133355",48113017001,"DEM",TRUE,0.148812976513117,41589,70.31,13.57,21.36,22.22,36.2,0.181603719448275,1
"481133520",48113005600,"DEM",TRUE,20.2911119007104,26007,44.14,35.09,23.72,74.25,22.3,0.995475951548557,1
