"state","county","tract","NAME","medianage","income","totalpop","poverty","hispanic","white","black","geoid"
"48","027","021000","Census Tract 210, Bell County, Texas",36.2,38668,4226,20.76,35.21,69.83,16.64,"48027021000"
"48","027","021100","Census Tract 211, Bell County, Texas",42.3,42276,5687,16.34,21.51,79.46,7.75,"48027021100"
"48","027","021201","Census Tract 212.01, Bell County, Texas",28,38669,2965,16.53,19.56,82.73,3.74,"48027021201"
"48","027","021202","Census Tract 212.02, Bell County, Texas",38.7,45759,4504,11.93,20.65,81.55,9.06,"48027021202"
"48","027","021203","Census Tract 212.03, Bell County, Texas",45.1,55923,4267,7.05,13.19,80.24,12.58,"48027021203"
"48","027","021301","Census Tract 213.01, Bell County, Texas",40.2,72576,5763,7.57,21.13,89.9,6.09,"48027021301"
"48","027","021302","Census Tract 213.02, Bell County, Texas",53,68681,2963,1.05,3,90.25,5.57,"48027021302"
"48","027","021303","Census Tract 213.03, Bell County, Texas",40.1,49638,5636,10.02,24.04,75.3,14.74,"48027021303"
"48","027","021400","Census Tract 214, Bell County, Texas",38.7,55919,3612,6.84,15.09,90.84,2.24,"48027021400"
"48","027","021500","Census Tract 215, Bell County, Texas",31.9,37500,5239,24.32,31.76,81.01,6.59,"48027021500"
"48","027","021601","Census Tract 216.01, Bell County, Texas",43.5,42107,5859,16.08,32.68,62.42,19.61,"48027021601"
"48","027","021602","Census Tract 216.02, Bell County, Texas",20.1,16885,2839,43.91,12.89,78.62,13.42,"48027021602"
"48","027","021700","Census Tract 217, Bell County, Texas",40.5,62889,6578,8.21,8.85,89.37,4.5,"48027021700"
"48","027","021800","Census Tract 218, Bell County, Texas",33.4,56042,6550,12.79,22.61,74.35,14.17,"48027021800"
"48","027","021901","Census Tract 219.01, Bell County, Texas",45.4,53611,3315,18.75,15.08,72.97,16.32,"48027021901"
"48","027","021903","Census Tract 219.03, Bell County, Texas",29.9,78601,8498,10.26,14.17,61.05,21.17,"48027021903"
"48","027","021904","Census Tract 219.04, Bell County, Texas",30.9,57313,7943,8.89,17.88,68.44,15.07,"48027021904"
"48","027","022000","Census Tract 220, Bell County, Texas",30.7,40755,8306,17.14,18.41,63.39,25.61,"48027022000"
"48","027","022101","Census Tract 221.01, Bell County, Texas",30.6,39311,3930,12.26,14.15,57.46,28.3,"48027022101"
"48","027","022103","Census Tract 221.03, Bell County, Texas",25.6,48109,5590,15.62,20.88,46.69,32.15,"48027022103"
"48","027","022104","Census Tract 221.04, Bell County, Texas",27,37956,4320,14.7,21.6,40.79,40.14,"48027022104"
"48","027","022105","Census Tract 221.05, Bell County, Texas",28.6,49744,1844,9.87,22.45,60.63,22.23,"48027022105"
"48","027","022200","Census Tract 222, Bell County, Texas",28.6,38574,3365,15.1,25.79,58.45,24.49,"48027022200"
"48","027","022300","Census Tract 223, Bell County, Texas",33.6,36205,3751,17.81,20.42,54.36,35.56,"48027022300"
"48","027","022401","Census Tract 224.01, Bell County, Texas",27,46686,5169,17.67,26.27,48.62,39.79,"48027022401"
"48","027","022402","Census Tract 224.02, Bell County, Texas",27.2,71267,1648,5.46,44.11,62.01,31.86,"48027022402"
"48","027","022403","Census Tract 224.03, Bell County, Texas",34.3,56586,4138,9.09,13.27,56.55,29.41,"48027022403"
"48","027","022404","Census Tract 224.04, Bell County, Texas",26.6,64479,6966,4.76,27.3,60.85,26.34,"48027022404"
"48","027","022405","Census Tract 224.05, Bell County, Texas",25.5,37060,1824,23.3,45.5,80.65,8.33,"48027022405"
"48","027","022501","Census Tract 225.01, Bell County, Texas",35.6,38589,4233,19.16,35.27,65.89,21.47,"48027022501"
"48","027","022502","Census Tract 225.02, Bell County, Texas",26.9,63892,8478,11.3,20.89,48.99,30.02,"48027022502"
"48","027","022600","Census Tract 226, Bell County, Texas",28.4,28730,4990,27.29,31.14,57.45,22.73,"48027022600"
"48","027","022801","Census Tract 228.01, Bell County, Texas",28.5,24114,2874,36.81,25.26,51.77,35.11,"48027022801"
"48","027","022900","Census Tract 229, Bell County, Texas",31.2,28974,3574,27.42,20.4,52.27,23.2,"48027022900"
"48","027","023000","Census Tract 230, Bell County, Texas",36.2,57168,5579,8.81,24.5,61.84,25.92,"48027023000"
"48","027","023103","Census Tract 231.03, Bell County, Texas",46,43861,4296,9.31,17.11,43.46,43.78,"48027023103"
"48","027","023104","Census Tract 231.04, Bell County, Texas",28,41389,3895,15.14,21.23,54.99,33.89,"48027023104"
