"vtd.key1","tract.key","county","cntyname","tract","vtdname","pop10","afact","state","NAME","medianage","income","totalpop","poverty","hispanic","white","black","Pres_D_08","Pres_R_08","Shape_area"
"480150103","48015760501","48015","Austin TX","7605.01","Vtng Dist 0103","1394","1 ","48","Census Tract 7605.01, Austin County, Texas",45.4,71118,4144,5.18,6.64,89.89,7.14,"123","654",117644774.933
"480150206","48015760501","48015","Austin TX","7605.01","Vtng Dist 0206","681","1 ","48","Census Tract 7605.01, Austin County, Texas",45.4,71118,4144,5.18,6.64,89.89,7.14,"86","306",84121961.3808
"480150207","48015760400","48015","Austin TX","7604.00","Vtng Dist 0207","528","1 ","48","Census Tract 7604, Austin County, Texas",45.9,58095,3245,5.36,6.93,95.93,3.7,"37","229",55949791.1884
"480150208","48015760400","48015","Austin TX","7604.00","Vtng Dist 0208","923","1 ","48","Census Tract 7604, Austin County, Texas",45.9,58095,3245,5.36,6.93,95.93,3.7,"78","336",127328183.102
"480150209","48015760400","48015","Austin TX","7604.00","Vtng Dist 0209","806","1 ","48","Census Tract 7604, Austin County, Texas",45.9,58095,3245,5.36,6.93,95.93,3.7,"83","301",117112030.689
"480150210","48015760400","48015","Austin TX","7604.00","Vtng Dist 0210","1007","1 ","48","Census Tract 7604, Austin County, Texas",45.9,58095,3245,5.36,6.93,95.93,3.7,"92","383",115206054.178
"480150312","48015760300","48015","Austin TX","7603.00","Vtng Dist 0312","765","1 ","48","Census Tract 7603, Austin County, Texas",43.3,66341,6613,7.42,23.7,85.54,8.11,"46","320",80572766.11
"480150319","48015760300","48015","Austin TX","7603.00","480150319","2519","1 ","48","Census Tract 7603, Austin County, Texas",43.3,66341,6613,7.42,23.7,85.54,8.11,"210","727",6267270.33845
"480150413","48015760200","48015","Austin TX","7602.00","Vtng Dist 0413","1180","1 ","48","Census Tract 7602, Austin County, Texas",35.9,49918,6592,11.04,32.22,80.48,14.65,"66","163",985978.195005
"480150415","48015760100","48015","Austin TX","7601.00","Vtng Dist 0415","2286","1 ","48","Census Tract 7601, Austin County, Texas",42.2,39928,1987,9.71,33.97,82.69,5.49,"301","547",151219888.176
"480150417","48015760200","48015","Austin TX","7602.00","Vtng Dist 0417","961","1 ","48","Census Tract 7602, Austin County, Texas",35.9,49918,6592,11.04,32.22,80.48,14.65,"185","242",30667126.9114
"480150418","48015760200","48015","Austin TX","7602.00","Vtng Dist 0418","1723","1 ","48","Census Tract 7602, Austin County, Texas",35.9,49918,6592,11.04,32.22,80.48,14.65,"119","596",53184543.4003
"480170002","48017950100","48017","Bailey TX","9501.00","Vtng Dist 0002","1853","1 ","48","Census Tract 9501, Bailey County, Texas",32.4,42375,7027,17.26,44.09,85.94,5.95,"137","672",647352342.535
"480190101","48019000102","48019","Bandera TX","0001.02","480190101","1301","0.695 ","48","Census Tract 1.02, Bandera County, Texas",50.7,35500,4811,24.2,22.3,96.47,0.42,"202","630",75728625.8771
"480190102","48019000300","48019","Bandera TX","0003.00","480190102","1877","0.524 ","48","Census Tract 3, Bandera County, Texas",45.6,51429,7348,15.24,14.81,92.41,0.99,"437","1242",188129701.862
"480190203","48019000300","48019","Bandera TX","0003.00","480190203","2141","0.792 ","48","Census Tract 3, Bandera County, Texas",45.6,51429,7348,15.24,14.81,92.41,0.99,"307","857",80148962.0806
"480190204","48019000400","48019","Bandera TX","0004.00","480190204","1585","0.696 ","48","Census Tract 4, Bandera County, Texas",52.3,33508,2056,19.99,23.01,89.69,0,"295","740",36577820.532
"480190305","48019000102","48019","Bandera TX","0001.02","480190305","2234","0.806 ","48","Census Tract 1.02, Bandera County, Texas",50.7,35500,4811,24.2,22.3,96.47,0.42,"302","971",140650896.189
"480190306","48019000200","48019","Bandera TX","0002.00","480190306","1818","1 ","48","Census Tract 2, Bandera County, Texas",50.4,47857,2504,16.18,8.39,95.17,0.52,"173","732",664566873.952
"480190407","48019000101","48019","Bandera TX","0001.01","480190407","2576","0.82 ","48","Census Tract 1.01, Bandera County, Texas",46.5,45236,3546,17.79,11.11,95.74,0.54,"307","1067",219599341.625
"480190408","48019000200","48019","Bandera TX","0002.00","480190408","299","0.867 ","48","Census Tract 2, Bandera County, Texas",50.4,47857,2504,16.18,8.39,95.17,0.52,"51","128",182093480.085
"480190409","48019000300","48019","Bandera TX","0003.00","480190409","1372","1 ","48","Census Tract 3, Bandera County, Texas",45.6,51429,7348,15.24,14.81,92.41,0.99,"117","281",49418023.9085
"480190410","48019000200","48019","Bandera TX","0002.00","480190410","609","1 ","48","Census Tract 2, Bandera County, Texas",50.4,47857,2504,16.18,8.39,95.17,0.52,"59","287",421459524.52
"480211001","48021950400","48021","Bastrop TX","9504.00","480211001","4671","0.847 ","48","Census Tract 9504, Bastrop County, Texas",35.8,52199,7927,9.06,16.89,81.85,12.51,"1034","1399",62980009.9775
"480211013","48021950400","48021","Bastrop TX","9504.00","480211013","3034","0.818 ","48","Census Tract 9504, Bastrop County, Texas",35.8,52199,7927,9.06,16.89,81.85,12.51,"927","773",68863127.9744
"480211014","48021950300","48021","Bastrop TX","9503.00","480211014","5452","0.954 ","48","Census Tract 9503, Bastrop County, Texas",40.6,64006,11889,9.08,19.7,76.57,13.92,"1013","1182",81970526.3169
"480211021","48021950501","48021","Bastrop TX","9505.01","480211021","5745","0.999 ","48","Census Tract 9505.01, Bastrop County, Texas",37.9,49231,7151,16.24,36.78,76.35,9.44,"638","714",122744422.582
"480212003","48021950700","48021","Bastrop TX","9507.00","480212003","2196","0.597 ","48","Census Tract 9507, Bastrop County, Texas",38.8,40824,4511,18.95,19.42,83.06,9.51,"673","758",155774395.268
"480212004","48021950600","48021","Bastrop TX","9506.00","480212004","2228","1 ","48","Census Tract 9506, Bastrop County, Texas",44.2,46551,4375,12.39,14.97,86.33,3.79,"366","614",269043340.711
"480212007","48021950600","48021","Bastrop TX","9506.00","480212007","1175","1 ","48","Census Tract 9506, Bastrop County, Texas",44.2,46551,4375,12.39,14.97,86.33,3.79,"174","291",145180810.456
"480212011","48021950502","48021","Bastrop TX","9505.02","480212011","2063","0.989 ","48","Census Tract 9505.02, Bastrop County, Texas",46.3,59271,5948,10.98,9.94,96.7,0.08,"273","508",233191785.81
"480212012","48021950700","48021","Bastrop TX","9507.00","480212012","1993","0.97 ","48","Census Tract 9507, Bastrop County, Texas",38.8,40824,4511,18.95,19.42,83.06,9.51,"358","568",23545364.8496
"480212016","48021950502","48021","Bastrop TX","9505.02","480212016","1236","0.976 ","48","Census Tract 9505.02, Bastrop County, Texas",46.3,59271,5948,10.98,9.94,96.7,0.08,"264","359",77065683.241
"480212017","48021950600","48021","Bastrop TX","9506.00","480212017","257","1 ","48","Census Tract 9506, Bastrop County, Texas",44.2,46551,4375,12.39,14.97,86.33,3.79,"28","72",58574130.9916
"480212018","48021950502","48021","Bastrop TX","9505.02","480212018","2167","0.946 ","48","Census Tract 9505.02, Bastrop County, Texas",46.3,59271,5948,10.98,9.94,96.7,0.08,"437","610",27783052.8884
